"No.","Time","Source","Destination","Protocol","Length","Info","Source MAC","Dest MAC","802.11 Type","802.11 Subtype","UDP Length","Frame Length","Hw src addr res","data.data"
"13","1.967830","192.168.43.1","192.168.43.20","UDP","52","40611  >  22704 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:0a"
"14","2.017214","192.168.43.20","180.76.76.200","TCP","74","47021  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3736440 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"15","3.012227","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"16","3.018379","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47021  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3736741 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"17","3.018170","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"18","3.018771","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"19","3.022418","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"20","3.749077","fe80::66bc:cff:fe4a:ec64","ff02::16","ICMPv6","130","Multicast Listener Report Message v2","","","","","","130","LGElectronic_4a:ec:64",""
"21","4.033920","192.168.43.20","180.76.76.200","TCP","74","47022  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3737045 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"22","4.053954","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"23","4.056053","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"24","4.057870","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"25","4.059895","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"26","4.955480","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0b:41:52:54:45:4d:49:53:00:02:00:00:00:05:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
